hotel_name,hotel_desc,address,review_score,review_title,reviews
The Jayakarta Yogyakarta Hotel & Spa,"The Jayakarta Yogyakarta is located in Jalan Solo-Yogyakarta, just 5 minutes by car from the Adi Sucipto Airport and 15 minutes from Yogyakarta city centre. There is free Wi-Fi.","Yogyakarta


Show on map",7.7,Good,144 reviews
Jambuluwuk Maliboro Hotel Yogyakarta,"Located a 3-minute drive from Lempuyangan Train Station, Jambuluwuk Maliboro Hotel Yogyakarta features an outdoor pool and fitness centre. Free WiFi is provided in the entire hotel.","Pakualaman, Yogyakarta


Show on map",8.1,Very good,477 reviews
MMUGM Hotel,"MMUGM Hotel is located in a campus area in Central Yogyakarta, a 30-minute drive from Adisucipto Airport. It offers value-for-money accommodation with a restaurant and free parking.","Catur Tunggal, Yogyakarta


Show on map",8.1,Very good,250 reviews
D'Kaliurang Resort & Convention Yogyakarta,"Set in Yogyakarta, 22 km from Tugu Monument, D'Kaliurang Resort & Convention Yogyakarta offers accommodation with a restaurant, free private parking, a garden and a terrace.","Yogyakarta


Show on map",8.2,Very good,16 reviews
Adhisthana Hotel Yogyakarta,"Located just in Prawirotaman area, Adhisthana Hotel Yogyakarta presents a modern accommodation with Javanese touches.","Mergangsan, Yogyakarta


Show on map",8.7,Fabulous,840 reviews
Royal Ambarrukmo Yogyakarta,"A 10-minute drive from Adi Sucipto Airport, Royal Ambarrukmo Yogyakarta offers modern and spacious rooms with free WiFi in the heart of Yogyakarta.","Catur Tunggal, Yogyakarta


Show on map",9.1,Superb,326 reviews
Hotel Citradream Tugu Yogyakarta,"Located just a 10-minute drive from the iconic Malioboro Street in Yogyakarta, Hotel Citradream Tugu Yogyakarta offers modern and elegant accommodation with an on-site restaurant, free WiFi access in...","Jetis, Yogyakarta


Show on map",7.7,Good,67 reviews
Merapi Merbabu Hotels & Resorts,"Merapi Merbabu Hotels & Resorts offers luxurious comfort a 10-minute drive from Adi Sucipto International Airport. Featuring a spa and an outdoor pool, it houses spacious rooms with wooden flooring.","Catur Tunggal, Yogyakarta


Show on map",7.4,Good,131 reviews
YATS Colony,"Located in Yogyakarta, 2.3 km from Museum Sonobudoyo, YATS Colony provides accommodation with a restaurant, free private parking, a garden and a terrace.","Wirobrajan, Yogyakarta


Show on map",8.5,Very good,300 reviews
Grand Mercure Yogyakarta Adi Sucipto,"Offering an outdoor pool and views of Mount Merapi, Grand Mercure Yogyakarta Adi Sucipto is located in Yogyakarta. Operating a 24-hour front desk, the hotel houses a spa centre and a fitness centre.","Gondokusuman, Yogyakarta


Show on map",8.3,Very good,256 reviews
Grage Ramayana Hotel,"Grage Ramayana Hotel is located in the heart of Yogyakarta, a 5-minute drive from Tugu Station. It offers affordable accommodation with a coffee shop, free parking and free Wi-Fi access.","Gedongtengen, Yogyakarta


Show on map",7.5,Good,68 reviews
GRAND ASTON Hotel & Convention Center Yogyakarta,"The 5-star GRAND ASTON Hotel & Convention Center Yogyakarta offers luxurious air-conditioned rooms in downtown Yogyakarta, just 2 minutes' walk from the main shopping streets.","Gondokusuman, Yogyakarta


Show on map",9.0,Superb,395 reviews
Sahid Raya Hotel & Convention Yogyakarta,"Featuring free WiFi and a restaurant, Sahid Raya Hotel & Convention Yogyakarta offers accommodation in Sleman, 6 km from Yogyakarta.","Catur Tunggal, Yogyakarta


Show on map",6.8,Review score,93 reviews
Rivisha Hotel,"Located in Yogyakarta, 5 km from Tugu Monument, Rivisha Hotel provides accommodation with a shared lounge, free private parking and a garden.","Yogyakarta


Show on map",8.5,Very good,211 reviews
KJ Hotel Yogyakarta,"KJ Hotel Yogyakarta is set in Yogyakarta in the Yogyakarta Province Region, 2.4 km from Museum Sonobudoyo. Guests can enjoy the on-site restaurant. All rooms come with a flat-screen TV.","Mantrijeron, Yogyakarta


Show on map",8.4,Very good,220 reviews
POP! Hotel Timoho Yogyakarta,"Following the consistently fresh style of this brand, Pop! Hotel Timoho Yogyakarta offers a smart accommodation in the city of Yogyakarta, in the Central Java Region.","Umbulharjo, Yogyakarta


Show on map",7.9,Good,150 reviews
The Alana Yogyakarta Hotel and Convention Center,"Operating a 24-hour front desk, The Alana Yogyakarta Hotel and Convention Center is located in Yogyakarta area within 8-minute drive to the famous Monument Yogya Kembali.","Yogyakarta


Show on map",8.7,Fabulous,173 reviews
OYO 1338 Hotel Sartika,"Attractively set in the Wirobrajan district of Yogyakarta, OYO 1338 Hotel Sartika is situated 1.1 km from Museum Sonobudoyo, 1.8 km from Scientific Park and 1.9 km from Sultan's Palace.","Wirobrajan, Yogyakarta


Show on map",6.0,Review score,160 reviews
Sonosewu Guesthouse,"Located in Yogyakarta, within 3.1 km of Museum Sonobudoyo and 3.7 km of Scientific Park, Sonosewu Guesthouse provides accommodation with a garden and free WiFi throughout the property as well as free...","Yogyakarta


Show on map",8.2,Very good,617 reviews
Grand Zuri Malioboro,"Grand Zuri Malioboro offers modern comfort in the heart of Yogyakarta City, a 5-minute walk from Malioboro Street. Housing a restaurant, it presents an outdoor pool, spa and a gym.","Jetis, Yogyakarta


Show on map",8.1,Very good,105 reviews
Pesonna Hotel Tugu Yogyakarta,"With modernly furnished rooms in an elegant building, Pesonna Tugu Yogyakarta offers an accommodation in Yogyakarta.There is an on-site restaurant serving local and international cuisines.","Jetis, Yogyakarta


Show on map",8.6,Fabulous,119 reviews
Satoria Hotel Yogyakarta,"Located in the Catur Tunggal area in Yogyakarta, 2 km from Adisucipto International Airport, Satoria Hotel Yogyakarta boasts a rooftop swimming pool and views of the city.","Yogyakarta


Show on map",8.7,Fabulous,258 reviews
Horaios Malioboro Hotel,Horaios Malioboro Hotel features air-conditioned rooms with cable flat-screen TV in the Gedongtengen district of Yogyakarta.,"Gedongtengen, Yogyakarta


Show on map",7.1,Good,22 reviews
PULANG ke UTTARA,"Providing city views, PULANG ke UTTARA in Yogyakarta provides accommodation, an outdoor swimming pool, a fitness centre, a shared lounge, a garden and a terrace.","Catur Tunggal, Yogyakarta


Show on map",8.8,Fabulous,64 reviews
Grand Inna Malioboro,"Located in central Yogyakarta, Grand Inna Malioboro is a 5-minute walk from Malioboro Street. It offers a restaurant, spa and rooms with an en suite bathroom, as well as free WiFi access.","Malioboro, Yogyakarta


Show on map",8.1,Very good,334 reviews
Cordela Kartika Dewi Yogyakarta,"Located in Yogyakarta, 700 metres from Yogyakarta Presidential Palace, Cordela Kartika Dewi Yogyakarta features views of the city.","Ngampilan, Yogyakarta


Show on map",8.3,Very good,121 reviews
Roemah Noni Macanan,"Set within 1.1 km of Malioboro Mall and 1.2 km of Yogyakarta Presidential Palace, Roemah Macanan features rooms in Yogyakarta.","Danurejan, Yogyakarta


Show on map",8.9,Fabulous,18 reviews
Crystal Lotus Hotel Yogyakarta,"Located just about a 6-minute drive to Gajah Mada University in Yogyakarta, Crystal Lotus Hotel Yogyakarta offers an outdoor swimming pool, an on-site restaurant and free WiFi access in all areas of...","Sinduadi, Yogyakarta


Show on map",7.5,Good,142 reviews
Tjokro Style Yogyakarta,"Situated at a 10-minute drive from Malioboro, Kotagede and Prawirotaman areas, Tjokro Style Yogyakarta offers complimentary drop off service to Malioboro Street every day from 10:00 to 16:00.","Umbulharjo, Yogyakarta


Show on map",8.2,Very good,146 reviews
Innside by Melia Yogyakarta,"Set in Yogyakarta in the Yogyakarta Province Region, 7 km from Tugu Monument, Innside by Melia Yogyakarta features a rooftop infinity pool with views of the mountain.","Yogyakarta


Show on map",8.3,Very good,246 reviews
Grand Keisha Yogyakarta,"Situated in the Catur Tunggal district in Yogyakarta, 1.9 km from Tugu Monument, Grand Keisha Yogyakarta features an outdoor pool, a restaurant and a bar.","Yogyakarta


Show on map",8.6,Fabulous,165 reviews
Losmen Fadel,"Set 1.3 km from Malioboro Mall, Losmen Fadel offers accommodation with a shared lounge, a terrace and a 24-hour front desk for your convenience. Free WiFi is offered throughout the property.","Gedongtengen, Yogyakarta


Show on map",7.6,Good,465 reviews
Sunrise Hotel Jogja,"Housing a restaurant, Sunrise Hotel Jogja offers air-conditioned rooms with free bottled water. Free Wi-Fi is accessible throughout the building. On-site parking is also available free of charge.","Yogyakarta


Show on map",6.8,Review score,20 reviews
Pesonna Hotel Malioboro Yogyakarta,"Featuring free WiFi in public areas, Pesonna Hotel Malioboro Yogyakarta offers accommodation in Yogyakarta. Guests can enjoy the on-site restaurant. Free private parking is available on site.","Gondomanan, Yogyakarta


Show on map",8.3,Very good,160 reviews
ibis Yogyakarta Adi Sucipto,"Showcasing a pool and a restaurant, Ibis Yogyakarta Adi Sucipto is set in the Gondokusuman district in Yogyakarta, 1.9 km from Tugu Monument and 3.1 km from Malioboro Street.","Gondokusuman, Yogyakarta


Show on map",8.4,Very good,357 reviews
Grand Rohan Jogja,"Set in Yogyakarta, 5 km from Scientific Park, Grand Rohan Jogja offers accommodation with a restaurant, free private parking, a fitness centre and a garden.","Yogyakarta


Show on map",8.7,Fabulous,105 reviews
Atrium Premiere Hotel Yogyakarta Ambarukmo,"Atrium Premier Hotel Yogyakarta Ambarukmo is conveniently located a 10-minute drive from Adi Sucipto International Airport, offering modern, air-conditioned rooms with en suite bathrooms.","Catur Tunggal, Yogyakarta


Show on map",7.7,Good,84 reviews
Amaris Hotel Sagan - Jogja,"Boasting a fun and colorful design, Amaris Hotel Sagan - Jogja offers a clean and comfortable accommodation in Yogyakarta.","Gondokusuman, Yogyakarta


Show on map",7.6,Good,107 reviews
Griya Wijilan Syariah,"Decorated with a blend of traditional and modern Javanese designs, Griya Wijilan is located in Yogyakarta. Free WiFi access is available.","Kraton, Yogyakarta


Show on map",8.8,Fabulous,581 reviews
Prime Plaza Hotel Jogjakarta,"A 15-minute drive from Adisucipto Airport, Prime Plaza Hotel Jogjakarta is located in the city’s university district.","Catur Tunggal, Yogyakarta


Show on map",8.6,Fabulous,216 reviews
Aveon Hotel Yogyakarta,"Boasting a bar, garden and views of pool, Aveon Hotel Yogyakarta is situated in Yogyakarta, 7 km from Tugu Monument.","Yogyakarta


Show on map",7.9,Good,44 reviews
OYO 890 Dewi Fortuna Residence,"Located in Yogyakarta, within 6 km of Tugu Monument and 7 km of Scientific Park, OYO 890 Dewi Fortuna Residence provides accommodation with a terrace and as well as free private parking for guests who...","Catur Tunggal, Yogyakarta


Show on map",8.2,Very good,75 reviews
Aveta Hotel Malioboro,Aveta Hotel Malioboro features air-conditioned rooms with satellite flat-screen TV in the Danurejan district of Yogyakarta.,"Danurejan, Yogyakarta


Show on map",7.8,Good,86 reviews
Hotel New Saphir Yogyakarta,"Hotel New Saphir Yogyakarta is located in the heart of Yogyakarta, a 15-minute drive from the popular Malioboro Street. It features an outdoor pool and a gym.","Gondokusuman, Yogyakarta


Show on map",7.7,Good,154 reviews
favehotel Kusumanegara,"Situated in Yogyakarta, favehotel Kusumanegara is a 10-minute drive from attractions such as Jalan Malioboro and Sultan Palace. The hotel houses a restaurant and offers complimentary Wi-Fi access.","Umbulharjo, Yogyakarta


Show on map",7.2,Good,202 reviews
Wonderloft Hostel Jogja,"Located in Yogyakarta, within 3.2 km of Scientific Park and 3.3 km of Sultan's Palace, Wonderloft Hostel Jogja provides accommodation with a garden and free WiFi throughout the property as well as...","Mantrijeron, Yogyakarta


Show on map",9.2,Superb,67 reviews
Gallery Prawirotaman Hotel,"Set in Yogyakarta, Gallery Prawirotaman Hotel offers modern accommodation with an outdoor pool and a restaurant on site.","Mergangsan, Yogyakarta


Show on map",8.8,Fabulous,"1,468 reviews"
Eastparc Hotel Yogyakarta,"Offering an outdoor swimming pool and a restaurant, Eastparc Hotel Yogyakarta is located 500 metres from Ambarukmo Plaza Shopping Mall. Free Wi-Fi access is available throughout the hotel.","Catur Tunggal, Yogyakarta


Show on map",9.0,Superb,138 reviews
Aveon Hotel Yogyakarta,"Boasting a bar, garden and views of pool, Aveon Hotel Yogyakarta is situated in Yogyakarta, 7 km from Tugu Monument.","Yogyakarta


Show on map",7.9,Good,44 reviews
Cakra Kembang Hotel,"Hotel Cakra Kembang is located close to the famous Malioboro Street and Sultan Palace. It offers free Wi-Fi and parking, hot and cold shower, an outdoor pool and a restaurant.","Catur Tunggal, Yogyakarta


Show on map",7.6,Good,138 reviews
Wonderloft Hostel Jogja,"Located in Yogyakarta, within 3.2 km of Scientific Park and 3.3 km of Sultan's Palace, Wonderloft Hostel Jogja provides accommodation with a garden and free WiFi throughout the property as well as...","Mantrijeron, Yogyakarta


Show on map",9.2,Superb,67 reviews
Hotel Srikandi Baru,Hotel Srikandi Baru features air-conditioned rooms with cable TV in the Catur Tunggal district of Yogyakarta.,"Catur Tunggal, Yogyakarta


Show on map",7.1,Good,32 reviews
Sofia Boutique Residence,"Situated in Yogyakarta, 5 km from Tugu Monument, Sofia Boutique Residence features an outdoor swimming pool. 7 km from Malioboro Street, the property is also 7 km away from Malioboro Mall.","Yogyakarta


Show on map",9.1,Superb,163 reviews
Asana Grove Hotel Yogyakarta,"Strategically located a 5-minute drive from Ambarrukmo Plaza and Gembira Loka Zoo, Asana Grove Hotel Yogyakarta offers rooms with modern comforts and free WiFi access throughout.","Umbulharjo, Yogyakarta


Show on map",8.3,Very good,96 reviews
Ndalem Suryo Saptono Guest House,"Situated within 3.4 km of Malioboro Mall and 3.8 km of Tugu Monument, Ndalem Suryo Saptono Guest House features rooms with air conditioning and a private bathroom in Yogyakarta.","Yogyakarta


Show on map",9.2,Superb,135 reviews
apartement malioboro city bintang 3,"Located in Yogyakarta, apartement malioboro city bintang 3 provides accommodation with free WiFi, air conditioning, a restaurant and access to a garden with an outdoor pool.","Catur Tunggal, Yogyakarta


Show on map",6.8,Review score,29 reviews
Hotel Arjuna,"Featuring modern Javanese decor, Hotel Arjuna features an outdoor pool, pampering spa treatments and free Wi-Fi in Yogyakarta's Malioboro area.","Jetis, Yogyakarta


Show on map",8.4,Very good,184 reviews
Yabbiekayu Eco-Bungalows,"With garden views, Yabbiekayu Eco-Bungalows is set in Yogyakarta and has a restaurant, room service, snack bar, garden and terrace.","Yogyakarta


Show on map",9.3,Superb,46 reviews
Grand Orchid Hotel Yogyakarta,"Featuring free WiFi throughout the property, Grand Orchid Hotel Yogyakarta is set in Yogyakarta, 5 km from Tugu Monument. All rooms are equipped with a TV.","Yogyakarta


Show on map",6.8,Review score,70 reviews
Jowo Kluthuk Heritage,"Situated in Yogyakarta, 7 km from Tugu Monument, Jowo Kluthuk Heritage features accommodation with a restaurant, free private parking, a garden and a terrace.","Yogyakarta


Show on map",5.7,Review score,3 reviews
Sunrise Hotel Jombor Jogja,"Featuring air-conditioned rooms, Sunrise Hotel Jombor Jogja is located in Yogyakarta, 4.3 km from Tugu Monument. Guests can enjoy a variety of local and international dishes at the on-site restaurant....","Sinduadi, Yogyakarta


Show on map",6.5,Review score,11 reviews
OYO 3787 Hotel Poncowinatan,"This charming hotel provides spacious and cosy rooms, a 5-minute walk from Tugu Malioboro. It offers free Wi-Fi in public areas.","Jetis, Yogyakarta


Show on map",8.4,Very good,7 reviews
Villa Rosseno - Evelyn Private pool and Garden,"With pool views, Villa Rosseno - Evelyn Private pool and Garden is situated in Yogyakarta and has a restaurant, a shared kitchen, snack bar, garden, year-round outdoor pool and terrace.","Yogyakarta


Show on map",9.5,Exceptional,22 reviews
The Atrium Hotel & Resort Yogyakarta,"Featuring an indoor pool and a 24-hour front desk, The Atrium Hotel & Resort Yogyakarta offers accommodation in Yogyakarta. Free private parking is available on site.","Mlati, Yogyakarta


Show on map",7.9,Good,62 reviews
Chrissant Hotel,"Set in Yogyakarta and with Tugu Monument reachable within 4.4 km, Chrissant Hotel offers express check-in and check-out, allergy-free rooms, a restaurant, free WiFi throughout the property and a...","Sinduadi, Yogyakarta


Show on map",8.5,Very good,128 reviews
Whiz Hotel Malioboro Yogyakarta,"Whiz Hotel is located in the middle of Yogyakarta City, overlooking Malioboro Street. The 6-storey building has a 24-hour front desk and business centre. Its rooms feature flat-screen cable TVs.","Gedongtengen, Yogyakarta


Show on map",7.4,Good,114 reviews
Harper Malioboro Yogyakarta by ASTON,"Strategically located a 5-minute walk from the famous Malioboro Street and Tugu train station, Harper Malioboro Yogyakarta by ASTON offers accommodation with an outdoor pool and a kid's pool.","Jetis, Yogyakarta


Show on map",8.8,Fabulous,266 reviews
Joglo Mandapa Boutique Hotel,"Set in Yogyakarta, 7 km from Museum Sonobudoyo, Joglo Mandapa Boutique Hotel offers accommodation with a restaurant, free private parking, an outdoor swimming pool and a bar.","Yogyakarta


Show on map",8.6,Fabulous,14 reviews
Hotel Unisi Yogyakarta Syariah,"Featuring a shared lounge and views of city, Hotel Unisi Yogyakarta Syariah is located in Yogyakarta, 700 metres from Malioboro Mall.","Gedongtengen, Yogyakarta


Show on map",8.2,Very good,228 reviews
D'Kayon Hotel Yogyakarta,"Strategically located in Yogyakarta, D'Kayon Hotel Yogyakarta offers a 24-hour front desk and free WiFi access.","Catur Tunggal, Yogyakarta


Show on map",8.5,Very good,112 reviews
Hotel Winotosastro Garden,"Featuring a restaurant, Hotel Winotosastro Garden offers accommodations in Yogyakarta. Free WiFi access is available in the common areas. Guests who drive can use the parking facilities free of...","Mantrijeron, Yogyakarta


Show on map",7.5,Good,99 reviews
Hotel Dafam Fortuna Seturan,"Welcoming guests with an outdoor swimming pool and stylish guestrooms, Hotel Dafam Fortuna Seturan is situated in Yogyakarta.","Catur Tunggal, Yogyakarta


Show on map",7.6,Good,55 reviews
Residence Duksina 2 By SHM,Residence Duksina 2 By SHM features air-conditioned rooms with cable flat-screen TV in the Catur Tunggal district of Yogyakarta.,"Catur Tunggal, Yogyakarta


Show on map",8.3,Very good,7 reviews
Fam's Homestay by FH Stay,"Featuring garden views, Fam's Homestay by FH Stay provides accommodation with a garden, water sports facilities and a terrace, around 8 km from Scientific Park.","Yogyakarta


Show on map",9.6,Exceptional,5 reviews
RedDoorz @ Plemburan Jakal 2,"Situated within 8 km of Fort Vredeburg and 8 km of Tugu Monument, RedDoorz @ Plemburan Jakal 2 features rooms with air conditioning and a private bathroom in Yogyakarta.","Yogyakarta


Show on map",8.4,Very good,43 reviews
Hotel Santika Premiere Jogja,"A 15-minute walk from the popular shopping area of Malioboro Street, Hotel Santika Premiere Jogja features an outdoor pool and a 24-hour restaurant. Free Wi-Fi and free parking are provided.","Jetis, Yogyakarta


Show on map",8.7,Fabulous,166 reviews
All Nite & Day Hotel Yogjakarta - Gejayan,"Situated 1.5 km from Tugu Monument, ALL NITE & DAY HOTEL YOGYAKARTA - GEJAYAN in Yogyakarta provides rooms with air conditioning and free WiFi.","Gondokusuman, Yogyakarta


Show on map",8.9,Fabulous,7 reviews
Nextdoor Homestay,"Located in Yogyakarta, Nextdoor Homestay provides accommodation with an outdoor pool, free WiFi, a shared lounge and a garden. A continental breakfast is available daily at the homestay.","Mergangsan, Yogyakarta


Show on map",9.3,Superb,809 reviews
The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON,"Situated only a 10-minute walk from the historic Sultan's Palace, The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON offers a modern stay in the heart of Yogyakarta.","Mantrijeron, Yogyakarta


Show on map",8.4,Very good,572 reviews
Alamanda Family Villas & Pool,"Situated between rice fields on the ring road of Yogyakarta, Alamanda Villa's and Adventure offers spacious rooms with free WiFi.","Yogyakarta


Show on map",9.3,Superb,66 reviews
Prima In Hotel Malioboro,"Situated in Yogyakarta, 500 metres from Malioboro Street, Prima In Hotel Malioboro features a swimming pool with sun loungers.","Gedongtengen, Yogyakarta


Show on map",7.9,Good,67 reviews
OYO 1159 Bukit Indah Hotel & Restaurant Near RSUD Prambanan,"Soaring high over the Yogyakarta plain, this resort hotel features an outdoor terrace with sweeping views over Yogyakarta City and the surrounding countryside.","Yogyakarta


Show on map",7.8,Good,31 reviews
OYO 3726 Tembok Batu Residence,"Housing a coffee shop, OYO 3726 Tembok Batu Residence is a 5-minute walk from Gadjah Mada University and a 10-minute walk from local dining options.","Sinduadi, Yogyakarta


Show on map",7.0,Good,16 reviews
ETHES Coworking - Coliving & Lounge,"Featuring a restaurant, shared lounge, garden and free WiFi, ETHES Coworking - Coliving & Lounge is set in Yogyakarta, 8 km from Tugu Monument and 10 km from Malioboro Mall.","Yogyakarta


Show on map",8.4,Very good,36 reviews
Hotel Dafam Fortuna Seturan,"Welcoming guests with an outdoor swimming pool and stylish guestrooms, Hotel Dafam Fortuna Seturan is situated in Yogyakarta.","Catur Tunggal, Yogyakarta


Show on map",7.6,Good,55 reviews
OYO 3819 Hotel Winotosastro,"Conveniently situated in the Prawirotaman district of Yogyakarta, OYO 3819 Hotel Winotosastro is located 1.9 km from Scientific Park, 1.9 km from Museum Sonobudoyo and 1.9 km from Sultan's Palace.","Prawirotaman, Yogyakarta


Show on map",8.1,Very good,10 reviews
Duta Guest House,"Duta Guest House is located in the busy tourist area of Jalan Prawirotaman I. A 1-hour drive from Borobudur, it offers an outdoor pool and free internet in public areas.","Mergangsan, Yogyakarta


Show on map",8.2,Very good,392 reviews
